step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
78,0,121.585115,0.000000,-241.414244,0.379223,0.000000,-0.768046,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00121002,0.00000000,0.00767802,0.00000000,0.00000000,-0.01000000,-0.00112038,-0.00000000,0.00222458
79,0,123.482348,0.000000,-245.255690,0.379660,0.000000,-0.768520,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00120553,0.00000000,0.00768289,0.00000000,0.00000000,-0.01000000,-0.00112017,-0.00000000,0.00222484
80,0,125.381715,0.000000,-249.099442,0.380077,0.000000,-0.768969,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00120127,0.00000000,0.00768750,0.00000000,0.00000000,-0.01000000,-0.00111998,-0.00000000,0.00222510
81,0,127.283114,0.000000,-252.945379,0.380473,0.000000,-0.769394,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00119720,0.00000000,0.00769187,0.00000000,0.00000000,-0.01000000,-0.00111980,-0.00000000,0.00222534
82,0,129.186448,0.000000,-256.793386,0.380851,0.000000,-0.769797,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00119333,0.00000000,0.00769601,0.00000000,0.00000000,-0.01000000,-0.00111963,-0.00000000,0.00222557
83,0,131.091625,0.000000,-260.643353,0.381211,0.000000,-0.770179,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00118965,0.00000000,0.00769993,0.00000000,0.00000000,-0.01000000,-0.00111947,-0.00000000,0.00222579
84,0,132.998556,0.000000,-264.495177,0.381553,0.000000,-0.770541,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00118614,0.00000000,0.00770365,0.00000000,0.00000000,-0.01000000,-0.00111932,-0.00000000,0.00222601
85,0,134.907158,0.000000,-268.348760,0.381879,0.000000,-0.770883,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00118280,0.00000000,0.00770717,0.00000000,0.00000000,-0.01000000,-0.00111918,-0.00000000,0.00222621
86,0,136.817349,0.000000,-272.204008,0.382190,0.000000,-0.771207,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00117962,0.00000000,0.00771050,0.00000000,0.00000000,-0.01000000,-0.00111905,-0.00000000,0.00222641
87,0,138.729055,0.000000,-276.060833,0.382485,0.000000,-0.771514,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00117659,0.00000000,0.00771365,0.00000000,0.00000000,-0.01000000,-0.00111893,-0.00000000,0.00222660
88,0,140.642202,0.000000,-279.919153,0.382767,0.000000,-0.771805,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00117371,0.00000000,0.00771664,0.00000000,0.00000000,-0.01000000,-0.00111882,-0.00000000,0.00222678
89,0,142.556722,0.000000,-283.778887,0.383034,0.000000,-0.772081,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00117096,0.00000000,0.00771947,0.00000000,0.00000000,-0.01000000,-0.00111871,-0.00000000,0.00222695
90,0,144.472547,0.000000,-287.639960,0.383289,0.000000,-0.772342,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00116835,0.00000000,0.00772215,0.00000000,0.00000000,-0.01000000,-0.00111861,-0.00000000,0.00222712
91,0,146.389616,0.000000,-291.502302,0.383532,0.000000,-0.772588,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00116586,0.00000000,0.00772468,0.00000000,0.00000000,-0.01000000,-0.00111852,-0.00000000,0.00222728
